time,pitch,roll,yaw,ax,ay,az,gx,gy,gz,x,y,vx,vy
1732390552443,4.44522,-3.41383,-118.785,-0.18874,-0.261904,1.15364,5.87842,-0.769409,-1.45007,11.6924,7.10449,0.357993,-0.197767
1732390552506,4.53145,-3.33917,-118.908,0.0532017,-0.0561333,1.04104,-0.0804443,3.71643,1.35303,11.7051,7.09766,0.367255,-0.202579
1732390552506,4.65005,-3.33868,-118.837,-0.0663795,-0.108435,0.90062,1.78577,-2.01025,1.20898,11.7207,7.08984,0.358836,-0.197317
1732390552564,4.63342,-3.48092,-118.811,-0.0128479,-0.13216,0.593367,4.76294,-1.86755,-0.392334,11.7363,7.08203,0.369154,-0.202734
1732390552627,4.66942,-3.4744,-118.756,-0.0473194,-0.0429344,0.993908,1.0238,-0.563477,0.6073,11.751,7.07227,0.370592,-0.203139
1732390552627,4.61826,-3.37961,-118.705,-0.124459,-0.130408,0.533663,-2.78333,0.567871,1.35583,11.7666,7.06445,0.373858,-0.204455
1732390552689,4.51247,-3.37182,-118.652,-0.060483,0.147409,0.791906,-1.69617,-0.563721,3.18909,11.7812,7.05566,0.37098,-0.201528
1732390552689,4.32993,-3.2383,-118.452,-0.12228,0.148905,0.282831,3.32214,1.94116,-1.67798,11.7949,7.04785,0.352167,-0.190626
1732390552755,3.99992,-3.16043,-118.349,0.223452,-0.194132,0.8307,6.41626,2.40417,1.67493,11.8105,7.04199,0.332723,-0.178517
1732390552818,4.07149,-3.22323,-118.148,0.10746,-0.130002,0.503063,3.63513,-1.91858,-3.31445,11.8213,7.03418,0.305205,-0.16368
1732390552818,4.0181,-3.12435,-118.109,-0.259238,-0.137118,1.43484,1.24951,-1.7052,1.71448,11.833,7.02637,0.317717,-0.170419
1732390552897,4.0995,-3.02935,-118.175,0.103439,-0.309301,1.46869,1.96265,1.3573,4.34521,11.8467,7.02051,0.336686,-0.180367
1732390552958,4.26163,-3.03878,-118.2,-0.00423717,-0.136275,0.692574,6.05994,-3.74719,0,11.8604,7.01367,0.340994,-0.182871
1732390552958,4.3127,-2.97521,-118.268,0.348141,-0.230812,0.751553,10.0085,1.59937,-3.20569,11.873,7.00586,0.345157,-0.185572
