time,pitch,roll,yaw,ax,ay,az,gx,gy,gz,x,y,vx,vy
1732389386451,3.74654,-2.84276,-132.9,-0.0507164,-0.0661383,0.993246,-0.00952148,0.0388184,0,-0.00195312,0.00195312,0,0
1732389386513,3.75235,-2.86021,-132.9,-0.0469341,-0.0545635,0.989698,-0.0736084,-0.0809326,0,-0.00195312,0.00195312,0,0
1732389386581,3.7581,-2.84754,-132.901,-0.0464211,-0.0661898,0.981535,0.0567627,0.284424,0,-0.00195312,0.00195312,0,0
1732389386581,3.74812,-2.84422,-132.901,-0.0429811,-0.0623798,0.993631,-0.00793457,0.0998535,0,-0.00195312,0.00195312,0,0
1732389386639,3.7448,-2.84969,-132.901,-0.0506315,-0.070015,0.99316,0.0529785,0.0980225,0,-0.00195312,0.00195312,0,0
1732389386700,3.72974,-2.84204,-132.901,-0.0507164,-0.0661383,0.993246,-0.074707,-0.143799,0,-0.00195312,0.00195312,0,0
1732389386700,3.72269,-2.83862,-132.9,-0.046464,-0.0700693,0.985403,0.113525,0.0980225,0,-0.00195312,0.00195312,0,0
1732389386760,3.73642,-2.86073,-132.9,-0.0501614,-0.073885,0.981213,0.0445557,-0.204346,0,-0.00195312,0.00195312,0,0
1732389386823,3.73534,-2.86485,-132.9,-0.046977,-0.0584431,0.993567,-0.0657959,0.223389,0,-0.00195312,0.00195312,0,0
1732389386823,3.74863,-2.86398,-132.9,-0.05093,-0.0622635,0.997284,0.052002,0.0350342,0,-0.00195312,0.00195312,0,0
1732389386884,3.72537,-2.87231,-132.899,-0.0506315,-0.0583792,0.98551,-0.0090332,0.0369873,0,-0.00195312,0.00195312,0,0
1732389386946,3.73431,-2.87154,-132.9,-0.046464,-0.0700693,0.985403,-0.0710449,-0.0240479,0,-0.00195312,0.00195312,0,0
1732389386946,3.74612,-2.87663,-132.9,-0.0505886,-0.0661354,0.989292,-0.129272,0.101562,0,-0.00195312,0.00195312,0,0
1732389387009,3.71057,-2.86543,-132.9,-0.0426817,-0.0701313,0.989506,-0.0142822,-0.0766602,0,-0.00195312,0.00195312,0,0
1732389387071,3.70567,-2.86491,-132.899,-0.0428104,-0.0584974,0.985809,-0.00952148,0.0388184,0,-0.00195312,0.00195312,0,0
1732389387071,3.70906,-2.86045,-132.899,-0.0508022,-0.0622606,0.99333,-0.0106201,-0.0239258,0,-0.00195312,0.00195312,0,0
1732389387137,3.71449,-2.87218,-132.899,-0.0424681,-0.0740061,0.985466,0.0515137,-0.0299072,0,-0.00195312,0.00195312,0,0
1732389387232,3.71278,-2.87673,-132.899,-0.05093,-0.0622635,0.997284,0.0488281,-0.0866699,0,-0.00195312,0.00195312,0,0
1732389387232,3.70526,-2.86842,-132.899,-0.0587521,-0.0621452,0.996984,-0.012207,-0.0848389,0,-0.00195312,0.00195312,0,0
1732389387232,3.70433,-2.8651,-132.899,-0.0624056,-0.0620804,0.988928,-0.192871,-0.0202637,0,-0.00195312,0.00195312,0,0
1732389387295,3.72058,-2.85934,-132.9,-0.0469341,-0.0662003,0.997349,0.163818,-0.331909,0,-0.00195312,0.00195312,0,0
1732389387352,3.71878,-2.84496,-132.9,-0.0427675,-0.0546179,0.981941,-0.0626221,0.345215,0,-0.00195312,0.00195312,0,0
1732389387352,3.73582,-2.8374,-132.901,-0.054328,-0.0621948,0.981319,0.0515137,0.0372314,0,-0.00195312,0.00195312,0,0
1732389387421,3.73212,-2.83185,-132.901,-0.046977,-0.0584431,0.993567,-0.129883,0.10376,0,-0.00195312,0.00195312,0,0
